Academic Year,County Code,District Code,School Code,County_Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)",FreemealsK12,Percent_K12,"FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2015-16  CALPADS Fall 1  Certification Status"
2015-2016,15,63404,6009351,Kern,Delano Union Elementary,Cecil Avenue Math and Science Academy,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,Y,1184,Locally funded,N,6,8,689,505,73.30%,598,86.80%,689,505,73.30%,598,86.80%,Y
2015-2016,15,63404,6009369,Kern,Delano Union Elementary,Del Vista Math and Science Academy,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,Y,1352,Locally funded,N,K,5,571,467,81.80%,522,91.40%,563,461,81.90%,515,91.50%,Y
2015-2016,15,63404,6009377,Kern,Delano Union Elementary,Fremont Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,550,420,76.40%,485,88.20%,539,412,76.40%,476,88.30%,Y
2015-2016,15,63404,6009393,Kern,Delano Union Elementary,Terrace Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,497,391,78.70%,430,86.50%,481,380,79.00%,417,86.70%,Y
2015-2016,15,63404,6111355,Kern,Delano Union Elementary,Princeton Street Elementary,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,614,435,70.80%,529,86.20%,614,435,70.80%,529,86.20%,Y
2015-2016,15,63404,6115471,Kern,Delano Union Elementary,Almond Tree Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,N,,,N,6,8,698,552,79.10%,636,91.10%,698,552,79.10%,636,91.10%,Y
2015-2016,15,63404,6117915,Kern,Delano Union Elementary,Morningside,Elementary School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,644,333,51.70%,462,71.70%,631,328,52.00%,455,72.10%,Y
2015-2016,15,63412,100529,Kern,Delano Joint Union High,Cesar E. Chavez High,High School District,High Schools (Public),Traditional,Provision 2,N,,,N,9,12,1345,933,69.40%,1132,84.20%,1311,912,69.60%,1109,84.60%,Y
2015-2016,15,63412,116384,Kern,Delano Joint Union High,Robert F. Kennedy High,High School District,High Schools (Public),Traditional,Provision 2,N,,,N,9,12,1122,875,78.00%,1034,92.20%,1101,855,77.70%,1014,92.10%,Y
2015-2016,15,63412,1531656,Kern,Delano Joint Union High,Valley High,High School District,Continuation High Schools,Continuation School,Provision 2,N,,,N,9,12,149,110,73.80%,120,80.50%,140,104,74.30%,114,81.40%,Y
