Academic Year,County Code,District Code,School Code,County_Name,District Name,School Name,District Type,School Type,"Educational Option Type","NSLP Provision Status","Charter School (Y/N)","Charter School Number","Charter Funding Type",IRC,Low Grade,High Grade,"Enrollment (K-12)",FreemealsK12,Percent_K12,"FRPM Count (K-12)","Percent (%) Eligible FRPM (K-12)","Enrollment (Ages 5-17)","Free Meal Count (Ages 5-17)","Percent (%) Eligible Free (Ages 5-17)","FRPM Count (Ages 5-17)","Percent (%) Eligible FRPM (Ages 5-17)","2015-16 CALPADS Fall 1 Certification Status"
2015-2016,1,61192,127696,Alameda,Hayward Unified,Knowledge Enlightens You (KEY) Academy,Unified School District,Elementary Schools (Public),Traditional,None,Y,1514,Directly funded,Y,K,8,521,278,53.40%,346,66.40%,511,273,53.40%,339,66.30%,Y
2015-2016,1,61192,127944,Alameda,Hayward Unified,Silver Oak High Public Montessori Charter,Unified School District,High Schools (Public),Traditional,None,Y,1543,Directly funded,Y,9,12,161,66,41.00%,87,54.00%,155,61,39.40%,82,52.90%,Y
2015-2016,1,61192,131334,Alameda,Hayward Unified,Highland,Unified School District,Special Education Schools (Public),Special Education School,None,N,,,N,K,12,8,7,87.50%,7,87.50%,8,7,87.50%,7,87.50%,Y
2015-2016,1,61192,133009,Alameda,Hayward Unified,Brenkwitz High,Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,193,139,72.00%,153,79.30%,156,112,71.80%,125,80.10%,Y
2015-2016,1,61192,133629,Alameda,Hayward Unified,Hayward High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1580,1010,63.90%,1188,75.20%,1532,978,63.80%,1149,75.00%,Y
2015-2016,1,61192,135319,Alameda,Hayward Unified,Mt. Eden High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2009,1154,57.40%,1391,69.20%,1954,1122,57.40%,1352,69.20%,Y
2015-2016,1,61192,138339,Alameda,Hayward Unified,Tennyson High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1294,933,72.10%,1073,82.90%,1236,887,71.80%,1024,82.80%,Y
2015-2016,1,61192,6000889,Alameda,Hayward Unified,Bowman Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,399,271,67.90%,329,82.50%,399,271,67.90%,329,82.50%,Y
2015-2016,1,61192,6000905,Alameda,Hayward Unified,Burbank Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,922,614,66.60%,730,79.20%,908,607,66.90%,722,79.50%,Y
2015-2016,1,61192,6000913,Alameda,Hayward Unified,Cherryland Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,775,613,79.10%,688,88.80%,766,607,79.20%,681,88.90%,Y
2015-2016,1,61192,6000921,Alameda,Hayward Unified,East Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,619,343,55.40%,389,62.80%,604,338,56.00%,383,63.40%,Y
2015-2016,1,61192,6000947,Alameda,Hayward Unified,Eldridge Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,455,311,68.40%,370,81.30%,455,311,68.40%,370,81.30%,Y
2015-2016,1,61192,6000962,Alameda,Hayward Unified,Fairview Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,566,365,64.50%,430,76.00%,559,361,64.60%,426,76.20%,Y
2015-2016,1,61192,6000988,Alameda,Hayward Unified,Glassbrook Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,574,473,82.40%,517,90.10%,558,460,82.40%,503,90.10%,Y
2015-2016,1,61192,6000996,Alameda,Hayward Unified,Harder Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,619,477,77.10%,538,86.90%,619,477,77.10%,538,86.90%,Y
2015-2016,1,61192,6001044,Alameda,Hayward Unified,Longwood Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,726,578,79.60%,640,88.20%,714,572,80.10%,632,88.50%,Y
2015-2016,1,61192,6001051,Alameda,Hayward Unified,Lorin A. Eden Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,491,255,51.90%,324,66.00%,491,255,51.90%,324,66.00%,Y
2015-2016,1,61192,6001093,Alameda,Hayward Unified,Palma Ceia Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,591,397,67.20%,467,79.00%,591,397,67.20%,467,79.00%,Y
2015-2016,1,61192,6001101,Alameda,Hayward Unified,Park Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,580,435,75.00%,484,83.40%,570,432,75.80%,479,84.00%,Y
2015-2016,1,61192,6001127,Alameda,Hayward Unified,Ruus Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,568,385,67.80%,452,79.60%,557,380,68.20%,447,80.30%,Y
2015-2016,1,61192,6001135,Alameda,Hayward Unified,Schafer Park Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,735,541,73.60%,620,84.40%,722,530,73.40%,608,84.20%,Y
2015-2016,1,61192,6001176,Alameda,Hayward Unified,Southgate Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,687,341,49.60%,405,59.00%,674,337,50.00%,400,59.30%,Y
2015-2016,1,61192,6001192,Alameda,Hayward Unified,Treeview Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,507,315,62.10%,348,68.60%,507,315,62.10%,348,68.60%,Y
2015-2016,1,61192,6056931,Alameda,Hayward Unified,Bret Harte Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,632,376,59.50%,435,68.80%,632,376,59.50%,435,68.80%,Y
2015-2016,1,61192,6056949,Alameda,Hayward Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,579,433,74.80%,495,85.50%,579,433,74.80%,495,85.50%,Y
2015-2016,1,61192,6056956,Alameda,Hayward Unified,Anthony W. Ochoa Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,636,392,61.60%,469,73.70%,636,392,61.60%,469,73.70%,Y
2015-2016,1,61192,6056972,Alameda,Hayward Unified,Winton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,513,400,78.00%,457,89.10%,513,400,78.00%,457,89.10%,Y
2015-2016,1,61192,6062160,Alameda,Hayward Unified,Strobridge Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,598,432,72.20%,488,81.60%,598,432,72.20%,488,81.60%,Y
2015-2016,1,61192,6066476,Alameda,Hayward Unified,"Martin Luther King, Jr. Middle",Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,817,571,69.90%,667,81.60%,817,571,69.90%,667,81.60%,Y
2015-2016,1,61192,6090583,Alameda,Hayward Unified,Eden Gardens Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,566,293,51.80%,359,63.40%,566,293,51.80%,359,63.40%,Y
2015-2016,1,61192,6104566,Alameda,Hayward Unified,Tyrrell Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,735,635,86.40%,676,92.00%,735,635,86.40%,676,92.00%,Y
2015-2016,1,61192,6113815,Alameda,Hayward Unified,Faith Ringgold School of Arts and Science,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,153,101,66.00%,115,75.20%,153,101,66.00%,115,75.20%,Y
2015-2016,1,61200,1,Alameda,Livermore Valley Joint Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,27,2,7.40%,2,7.40%,26,2,7.70%,2,7.70%,Y
2015-2016,1,61200,107839,Alameda,Livermore Valley Joint Unified,Livermore Valley Charter,Unified School District,Elementary Schools (Public),Traditional,None,Y,1565,Directly funded,Y,K,8,1109,45,4.10%,54,4.90%,1098,45,4.10%,54,4.90%,Y
2015-2016,1,61200,120931,Alameda,Livermore Valley Joint Unified,Livermore Valley Charter Preparatory High,Unified School District,High Schools In 1 School Dist. (Public),Traditional,None,Y,1124,Directly funded,N,9,12,424,40,9.40%,43,10.10%,411,39,9.50%,42,10.20%,Y
2015-2016,1,61200,130393,Alameda,Livermore Valley Joint Unified,Vineyard Alternative,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,1,12,89,16,18.00%,17,19.10%,79,14,17.70%,15,19.00%,Y
2015-2016,1,61200,132670,Alameda,Livermore Valley Joint Unified,Del Valle Continuation High,Unified School District,Continuation High Schools,Continuation School,None,N,,,N,7,12,132,59,44.70%,68,51.50%,102,47,46.10%,52,51.00%,Y
2015-2016,1,61200,133397,Alameda,Livermore Valley Joint Unified,Granada High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2059,266,12.90%,310,15.10%,1975,249,12.60%,291,14.70%,Y
2015-2016,1,61200,134536,Alameda,Livermore Valley Joint Unified,Livermore High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1794,313,17.40%,365,20.30%,1746,299,17.10%,349,20.00%,Y
2015-2016,1,61200,6001234,Alameda,Livermore Valley Joint Unified,Junction K-8,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,836,487,58.30%,527,63.00%,836,487,58.30%,527,63.00%,Y
2015-2016,1,61200,6001242,Alameda,Livermore Valley Joint Unified,East Avenue Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,621,157,25.30%,179,28.80%,621,157,25.30%,179,28.80%,Y
2015-2016,1,61200,6001259,Alameda,Livermore Valley Joint Unified,Emma C. Smith Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,735,68,9.30%,75,10.20%,722,68,9.40%,75,10.40%,Y
2015-2016,1,61200,6001283,Alameda,Livermore Valley Joint Unified,Jackson Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,501,175,34.90%,209,41.70%,492,172,35.00%,206,41.90%,Y
2015-2016,1,61200,6001291,Alameda,Livermore Valley Joint Unified,Joe Michell,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,645,161,25.00%,198,30.70%,632,159,25.20%,196,31.00%,Y
2015-2016,1,61200,6001317,Alameda,Livermore Valley Joint Unified,Marylin Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,442,320,72.40%,348,78.70%,424,306,72.20%,334,78.80%,Y
2015-2016,1,61200,6001341,Alameda,Livermore Valley Joint Unified,William Mendenhall Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,948,79,8.30%,94,9.90%,948,79,8.30%,94,9.90%,Y
2015-2016,1,61200,6071906,Alameda,Livermore Valley Joint Unified,Arroyo Seco Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,621,127,20.50%,146,23.50%,604,120,19.90%,139,23.00%,Y
2015-2016,1,61200,6085773,Alameda,Livermore Valley Joint Unified,Andrew N. Christensen Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,615,91,14.80%,123,20.00%,615,91,14.80%,123,20.00%,Y
2015-2016,1,61200,6089338,Alameda,Livermore Valley Joint Unified,Rancho Las Positas Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,542,97,17.90%,112,20.70%,527,97,18.40%,112,21.30%,Y
2015-2016,1,61200,6097661,Alameda,Livermore Valley Joint Unified,Sunset Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,773,27,3.50%,32,4.10%,772,27,3.50%,32,4.10%,Y
2015-2016,1,61200,6110332,Alameda,Livermore Valley Joint Unified,Leo R. Croce Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,P,5,594,115,19.40%,130,21.90%,577,114,19.80%,129,22.40%,Y
2015-2016,1,61200,6117543,Alameda,Livermore Valley Joint Unified,Altamont Creek Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,545,64,11.70%,83,15.20%,533,64,12.00%,83,15.60%,Y
2015-2016,1,61218,6001358,Alameda,Mountain House Elementary,Mountain House Elementary,Elementary School District,Elemen Schools In 1 School Dist. (Public),Traditional,None,N,,,N,K,8,19,10,52.60%,11,57.90%,19,10,52.60%,11,57.90%,Y
2015-2016,1,61234,1,Alameda,Newark Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,5,0,0.00%,0,0.00%,3,0,0.00%,0,0.00%,Y
2015-2016,1,61234,130054,Alameda,Newark Unified,Newark Memorial High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1767,616,34.90%,744,42.10%,1726,599,34.70%,722,41.80%,Y
2015-2016,1,61234,130484,Alameda,Newark Unified,Crossroads High (Alternative),Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,12,40,22,55.00%,22,55.00%,38,21,55.30%,21,55.30%,Y
2015-2016,1,61234,135426,Alameda,Newark Unified,Bridgepoint High (Continuation),Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,76,40,52.60%,46,60.50%,60,35,58.30%,39,65.00%,Y
2015-2016,1,61234,6001440,Alameda,Newark Unified,August Schilling Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,465,297,63.90%,345,74.20%,459,296,64.50%,344,74.90%,Y
2015-2016,1,61234,6001457,Alameda,Newark Unified,E. L. Musick Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,299,170,56.90%,196,65.60%,285,167,58.60%,192,67.40%,Y
2015-2016,1,61234,6001473,Alameda,Newark Unified,H. A. Snow Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,377,166,44.00%,189,50.10%,377,166,44.00%,189,50.10%,Y
2015-2016,1,61234,6001481,Alameda,Newark Unified,James A. Graham Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,404,233,57.70%,273,67.60%,404,233,57.70%,273,67.60%,Y
2015-2016,1,61234,6001499,Alameda,Newark Unified,James L. Bunker Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,539,99,18.40%,128,23.70%,539,99,18.40%,128,23.70%,Y
2015-2016,1,61234,6001507,Alameda,Newark Unified,John F. Kennedy Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,348,78,22.40%,86,24.70%,348,78,22.40%,86,24.70%,Y
2015-2016,1,61234,6001523,Alameda,Newark Unified,Lincoln Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,404,140,34.70%,169,41.80%,393,136,34.60%,164,41.70%,Y
2015-2016,1,61234,6001531,Alameda,Newark Unified,Louis Milani Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,354,205,57.90%,231,65.30%,353,204,57.80%,230,65.20%,Y
2015-2016,1,61234,6102917,Alameda,Newark Unified,Newark Junior High,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,935,378,40.40%,454,48.60%,935,378,40.40%,454,48.60%,Y
2015-2016,1,61242,1,Alameda,New Haven Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,21,1,4.80%,1,4.80%,17,1,5.90%,1,5.90%,Y
2015-2016,1,61242,110460,Alameda,New Haven Unified,Core Learning Academy at Conley-Caraballo High,Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,145,71,49.00%,78,53.80%,90,51,56.70%,53,58.90%,Y
2015-2016,1,61242,110478,Alameda,New Haven Unified,Alternative Learning Academy at Conley-Caraballo High,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,13,7,53.80%,9,69.20%,11,7,63.60%,9,81.80%,Y
2015-2016,1,61242,126763,Alameda,New Haven Unified,Decoto School for Independent Study,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,12,154,52,33.80%,57,37.00%,133,47,35.30%,51,38.30%,Y
2015-2016,1,61242,134668,Alameda,New Haven Unified,James Logan High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,3793,1173,30.90%,1562,41.20%,3677,1125,30.60%,1506,41.00%,Y
2015-2016,1,61242,6001572,Alameda,New Haven Unified,Alvarado Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,839,293,34.90%,410,48.90%,821,292,35.60%,404,49.20%,Y
2015-2016,1,61242,6001606,Alameda,New Haven Unified,Hillview Crest Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,604,344,57.00%,428,70.90%,595,340,57.10%,423,71.10%,Y
2015-2016,1,61242,6001622,Alameda,New Haven Unified,Searles Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,699,379,54.20%,441,63.10%,683,372,54.50%,434,63.50%,Y
2015-2016,1,61242,6068266,Alameda,New Haven Unified,Alvarado Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1409,381,27.00%,502,35.60%,1409,381,27.00%,502,35.60%,Y
2015-2016,1,61242,6097679,Alameda,New Haven Unified,Cesar Chavez Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1284,590,46.00%,711,55.40%,1284,590,46.00%,711,55.40%,Y
2015-2016,1,61242,6101604,Alameda,New Haven Unified,Pioneer Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,838,212,25.30%,279,33.30%,824,210,25.50%,277,33.60%,Y
2015-2016,1,61242,6115505,Alameda,New Haven Unified,Tom Kitayama Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,876,301,34.40%,371,42.40%,857,290,33.80%,357,41.70%,Y
2015-2016,1,61242,6115554,Alameda,New Haven Unified,Guy Jr. Emanuele Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,645,314,48.70%,383,59.40%,631,309,49.00%,378,59.90%,Y
2015-2016,1,61242,6118525,Alameda,New Haven Unified,Delaine Eastin Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,851,127,14.90%,182,21.40%,832,127,15.30%,182,21.90%,Y
2015-2016,1,61259,1,Alameda,Oakland Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,148,38,25.70%,40,27.00%,133,34,25.60%,36,27.10%,Y
2015-2016,1,61259,100065,Alameda,Oakland Unified,Oakland Unity High,Unified School District,High Schools (Public),Traditional,None,Y,510,Directly funded,Y,9,12,337,205,60.80%,259,76.90%,327,198,60.60%,250,76.50%,Y
2015-2016,1,61259,100123,Alameda,Oakland Unified,East Oakland Leadership Academy,Unified School District,Elementary Schools (Public),Traditional,None,Y,499,Directly funded,Y,K,8,112,91,81.30%,106,94.60%,109,89,81.70%,104,95.40%,Y
2015-2016,1,61259,100701,Alameda,Oakland Unified,MetWest High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,163,114,69.90%,128,78.50%,155,109,70.30%,122,78.70%,Y
2015-2016,1,61259,100792,Alameda,Oakland Unified,Think College Now,Unified School District,Elementary Schools (Public),Traditional,Provision 4,N,,,N,K,5,306,249,81.40%,265,86.60%,306,249,81.40%,265,86.60%,Y
2015-2016,1,61259,102988,Alameda,Oakland Unified,EnCompass Academy Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,334,302,90.40%,309,92.50%,326,294,90.20%,301,92.30%,Y
